"Entity","Label","Type","Class"
"45 to 49","AGE_GROUP","text","Disparity Indicators (DI)"
"35 to 39","AGE_GROUP","text","Disparity Indicators (DI)"
"30 to 34","AGE_GROUP","text","Disparity Indicators (DI)"
"10 to 14","AGE_GROUP","text","Disparity Indicators (DI)"
"15 to 19","AGE_GROUP","text","Disparity Indicators (DI)"
"40 to 44","AGE_GROUP","text","Disparity Indicators (DI)"
"50","AGE_GROUP","text","Disparity Indicators (DI)"
"25 to 29","AGE_GROUP","text","Disparity Indicators (DI)"
"5 to 9","AGE_GROUP","text","Disparity Indicators (DI)"
"20 to 24","AGE_GROUP","text","Disparity Indicators (DI)"
"1 to 4","AGE_GROUP","text","Disparity Indicators (DI)"
"female","SEX","text","Disparity Indicators (DI)"
"yemale","SEX","text","Disparity Indicators (DI)"
"male","SEX","text","Disparity Indicators (DI)"
"nr","SEX","text","Disparity Indicators (DI)"
"kale","SEX","text","Disparity Indicators (DI)"
"fefale","SEX","text","Disparity Indicators (DI)"
"malx","SEX","text","Disparity Indicators (DI)"
"mape","SEX","text","Disparity Indicators (DI)"
"jale","SEX","text","Disparity Indicators (DI)"
"fkmale","SEX","text","Disparity Indicators (DI)"
"wale","SEX","text","Disparity Indicators (DI)"
"mals","SEX","text","Disparity Indicators (DI)"
"femate","SEX","text","Disparity Indicators (DI)"
"fexale","SEX","text","Disparity Indicators (DI)"
"femfle","SEX","text","Disparity Indicators (DI)"
"mrle","SEX","text","Disparity Indicators (DI)"
"iemale","SEX","text","Disparity Indicators (DI)"
"femalz","SEX","text","Disparity Indicators (DI)"
"malb","SEX","text","Disparity Indicators (DI)"
"femase","SEX","text","Disparity Indicators (DI)"
"oemale","SEX","text","Disparity Indicators (DI)"
"fedale","SEX","text","Disparity Indicators (DI)"
"fecale","SEX","text","Disparity Indicators (DI)"
"fevale","SEX","text","Disparity Indicators (DI)"
"femqle","SEX","text","Disparity Indicators (DI)"
"ftmale","SEX","text","Disparity Indicators (DI)"
"lemale","SEX","text","Disparity Indicators (DI)"
"malv","SEX","text","Disparity Indicators (DI)"
"mxle","SEX","text","Disparity Indicators (DI)"
"maae","SEX","text","Disparity Indicators (DI)"
"feeale","SEX","text","Disparity Indicators (DI)"
"oale","SEX","text","Disparity Indicators (DI)"
"femaoe","SEX","text","Disparity Indicators (DI)"
"fzmale","SEX","text","Disparity Indicators (DI)"
"pemale","SEX","text","Disparity Indicators (DI)"
"cale","SEX","text","Disparity Indicators (DI)"
"aemale","SEX","text","Disparity Indicators (DI)"
"maxe","SEX","text","Disparity Indicators (DI)"
