"Class","max_epochs","lstm_units","batch_size","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
"Clinical History (CH)",5,32,16,0.978012194497676,NA,0,NA,0.608609002874805,0,0,NA
"Clinical History (CH)",5,32,32,0.977867371905351,0,0,0,0.534013292258242,0.5,0.000144822592324403,0.00144717800289436
"Clinical History (CH)",5,32,64,0.978012194497676,NA,0,NA,0.617308202718957,0,0,NA
"Clinical History (CH)",5,64,16,0.978012194497676,NA,0,NA,0.594760431402936,0,0,NA
"Clinical History (CH)",5,64,32,0.977867685827155,0,0,0,0.61432894786407,0.142857142857143,0.000144508670520231,0.00143781452192667
"Clinical History (CH)",5,64,64,0.978012194497676,NA,0,NA,0.614086562877629,0,0,NA
"Clinical History (CH)",10,32,16,0.978012194497676,NA,0,NA,0.618893160594826,0,0,NA
"Clinical History (CH)",10,32,32,0.977577936304772,0,0,0,0.621304327159753,0.6,0.000434258192903274,0.00216037061064258
"Clinical History (CH)",10,32,64,0.977867476697386,0,0,0,0.62013347662658,0.0769230769230769,0.000144717800289436,0.0014336917562724
"Clinical History (CH)",10,64,16,0.977867267567617,0.5,0.00833333333333333,0.04,0.615518115450898,0.148809523809524,0.000433944271099102,0.00214701747132253
"Clinical History (CH)",10,64,32,0.977867371905351,0,0,0,0.607180132831754,0.5,0.000144822592324403,0.00144717800289436
"Clinical History (CH)",10,64,64,0.977722758897097,0,0,0,0.609796781733629,0.153846153846154,0.000289435600578871,0.0028673835125448
"Clinical History (CH)",50,32,16,0.978012194497676,NA,0,NA,0.617962203982404,0,0,NA
"Clinical History (CH)",50,32,32,0.978012194497676,NA,0,NA,0.627540789137853,NA,0,NA
"Clinical History (CH)",50,32,64,0.978012194497676,NA,0,NA,0.628935939180254,NA,0,NA
"Clinical History (CH)",50,64,16,0.977722758897097,0,0,0,0.626317454828177,0.0666666666666667,0.000289435600578871,0.00286327845382963
"Clinical History (CH)",50,64,32,0.977578250226576,0,0,0,0.626110926384868,0.15,0.000433944271099102,0.00215106368734647
"Clinical History (CH)",50,64,64,0.977577831512737,0,0,0,0.627730280971607,0.180952380952381,0.000434362984938241,0.00216294384760907
"Disparity Indicators (DI)",5,32,16,0.0690719018234619,0.0622201133576736,0.963060412385185,0.116866885918063,0.608609002874805,0.581386580098352,0.990195339367408,0.732504968377315
"Disparity Indicators (DI)",5,32,32,0.238639596129218,0.147262186922681,0.961357646771897,0.222184985613548,0.534013292258242,0.579339335679254,0.820422680244156,0.625720640784278
