"max_epochs","lstm_units","batch_size","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
5,32,16,0.247526283477519,0.99990723205345,0.247570448095428,0.498331573049237,0.497877519994819,0.326782236221474,0.247574102367216,0.347823029420379
5,32,32,0.26912542462628,0.999900160491466,0.269169635106198,0.578621764551452,0.514572190051674,0.325111582482674,0.269173243515977,0.400345718682074
5,32,64,0.267904768824919,0.999907891938065,0.267949217341229,0.538153555083451,0.513779321764356,0.348756602786227,0.267952587714616,0.374647541073996
5,64,16,0.2816333966589,0.999917200528618,0.281676767546522,0.510515666712697,0.510552965899682,0.359017657716672,0.281681215548597,0.369014489658036
5,64,32,0.291613342211043,0.999917365511659,0.291656798249485,0.524250378381657,0.520015945725667,0.33650049374242,0.29166116110074,0.375350514128879
5,64,64,0.258098684970517,0.999907282029814,0.258142890792294,0.520909153058893,0.508938987197477,0.347959999435428,0.258146503860215,0.370707383752684
10,32,16,0.262144869323485,0.999914059064522,0.262189331838138,0.485699570962949,0.509920413006924,0.323635597189225,0.262192688213182,0.341517711024536
10,32,32,0.254530032260582,0.999912171787297,0.25457360607357,0.482904197548582,0.500720251906288,0.329065782787971,0.25457785115028,0.341885391873469
10,32,64,0.264272902241239,0.999914047166055,0.264317358915977,0.506125614178276,0.512090463102623,0.352813237423189,0.264320721130937,0.357233722979549
10,64,16,0.259764439107006,0.999917647122066,0.259808008229569,0.459748832591978,0.502632577769725,0.312882712416974,0.259812257996703,0.326201450563383
10,64,32,0.273061325581003,0.99992238933936,0.273104863903655,0.455757831922946,0.508884867562571,0.314593879257284,0.273109144470701,0.32690555188753
10,64,64,0.286896664733947,0.999917374564812,0.286940123111613,0.515460439970925,0.516743053361847,0.346332658504621,0.286944483623644,0.364645633040941
50,32,16,0.263171219039353,0.999900089945349,0.263215381320816,0.565458611354768,0.506388916654994,0.325749853321168,0.26321903792905,0.390588873300618
50,32,32,0.25415545391308,0.999917953739164,0.254199133949286,0.455072027094183,0.500805225750202,0.309165743987332,0.254203272802778,0.320592811870289
50,32,64,0.260949217408637,0.999915137688368,0.260994254706706,0.485061001004884,0.515949956216415,0.329365633307917,0.260997036298335,0.34161563126609
50,64,16,0.253639067042532,0.999906474840756,0.253682878196381,0.50929973340922,0.501667859313713,0.328232663386758,0.25368688593223,0.35520246758325
50,64,32,0.268138902897922,0.999913390882,0.26818305351669,0.504932719731344,0.509782661743293,0.331067025558072,0.268186721787619,0.354665190847217
50,64,64,0.318005635598074,0.99992122975219,0.318048590814394,0.543311950704718,0.526076604551339,0.341420212330999,0.318053454487771,0.3891756198803
