"Class","algorithm","max_iterations","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
"Clinical History (CH)","arow",5,0.0207870240067234,0.0194513560484358,0.987878787878788,0.0381476719007394,0.998717678471452,0.995809033286501,0.998381535370391,0.997088258043488
"Clinical History (CH)","arow",10,0.0205379580042327,0.0194460235682993,0.987878787878788,0.0381374469518642,0.998952268530586,0.99764789911827,0.998630601372882,0.99813730053052
"Clinical History (CH)","arow",50,0.0202888920017421,0.0194407044193631,0.987878787878788,0.0381272470334635,0.999124242448825,0.997889120910431,0.998879667375372,0.998383586688
"Clinical History (CH)","arow",100,0.0200398259992514,0.0194353985516977,0.987878787878788,0.0381170720537386,0.999390066581596,0.999501790114846,0.999128733377863,0.999315203692003
"Clinical History (CH)","averaged-perceptron",5,0.258435626466159,0.022282908097727,0.835291571173924,0.043350967322949,0.888233587016184,0.992649580946254,0.755006585266121,0.846908549322452
"Clinical History (CH)","averaged-perceptron",10,0.0316156654650856,0.0188130126175157,0.943646549528902,0.0368870077523955,0.966913139710713,0.993530303126299,0.985809896281174,0.989641598154416
"Clinical History (CH)","averaged-perceptron",50,0.0214055867388404,0.0185013033137306,0.937585943468296,0.0362829054716449,0.998013442293909,0.99714308214646,0.995771373391509,0.99644589826925
"Clinical History (CH)","averaged-perceptron",100,0.0197906050085825,0.0189501353648448,0.961471861471861,0.0371641780032917,0.998858052590433,0.997887579097075,0.998382619131729,0.998133708309829
"Clinical History (CH)","l2sgd",5,0.206335311513083,0.0191563515489594,0.740460911637382,0.0355586779877564,0.902892727223699,0.948107670000226,0.802622780511431,0.816228473904803
"Clinical History (CH)","l2sgd",10,0.0312419117621486,0.0178318902054867,0.893402088107971,0.0349624999722236,0.983250011104642,0.988465603936491,0.984191896327123,0.986301309068118
"Clinical History (CH)","l2sgd",50,0.0221564998389537,0.0182768208367193,0.925036923860453,0.0358416214652152,0.996903552134351,0.999125264952104,0.994522483274593,0.996810991781246
"Clinical History (CH)","l2sgd",100,0.0197902953212032,0.0184702210438644,0.937764196587726,0.036223418251478,0.998873848832938,0.999626168224299,0.997386200422566,0.998504633146056
"Clinical History (CH)","lbfgs",5,0.77869869347841,0.0259959894768007,0.283254392666157,0.0475841160050872,0.788233204414679,0.898987778530638,0.212588564251016,0.343381702272777
"Clinical History (CH)","lbfgs",10,0.0195413843068909,0.0181051848204405,0.918370257193787,0.0355068396325576,0.991115166675447,0.9842879688826,0.996888687792343,0.990542487921362
