"Class","algorithm","max_iterations","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
"Clinical History (CH)","arow",5,0.944233477174654,1,0.944233477174654,0.970757465867593,0.982047387513524,0.929480519480519,0.944233477174654,0.934358989759452
"Clinical History (CH)","arow",10,0.933122366063542,1,0.933122366063542,0.965043180153307,0.982596469591142,0.965958471840825,0.933122366063542,0.948698154663891
"Clinical History (CH)","arow",50,0.944083327024503,1,0.944083327024503,0.971004746653759,0.982049670549048,0.940241678066575,0.944083327024503,0.940474027939682
"Clinical History (CH)","arow",100,0.944233477174654,1,0.944233477174654,0.970757465867593,0.981770747675108,0.959485612426789,0.944233477174654,0.949909447730572
"Clinical History (CH)","averaged-perceptron",5,0.325266611148964,1,0.325266611148964,0.460245609191745,0.824663773684373,0.845221445221445,0.325266611148964,0.443391804882488
"Clinical History (CH)","averaged-perceptron",10,0.678958790723497,1,0.678958790723497,0.778098247809762,0.94917797422062,0.9125,0.678958790723497,0.760098724804607
"Clinical History (CH)","averaged-perceptron",50,0.933263179145532,1,0.933263179145532,0.964695696460402,0.983177102419318,0.945182791065144,0.933263179145532,0.937237741943624
"Clinical History (CH)","averaged-perceptron",100,0.927548893431246,1,0.927548893431246,0.961797145735765,0.985661127244304,0.954584500466853,0.927548893431246,0.939597848529083
"Clinical History (CH)","l2sgd",5,0.444216569510687,1,0.444216569510687,0.526605150704168,0.912233059007548,1,0.444216569510687,0.526605150704168
"Clinical History (CH)","l2sgd",10,0.591275393040099,1,0.591275393040099,0.662823099422117,0.961719280769708,1,0.591275393040099,0.662823099422117
"Clinical History (CH)","l2sgd",50,0.915784187548893,1,0.915784187548893,0.955357751796371,0.983438560841182,0.988888888888889,0.915784187548893,0.949805598295656
"Clinical History (CH)","l2sgd",100,0.939313599313599,1,0.939313599313599,0.967857751796371,0.985376888506335,0.977777777777778,0.939313599313599,0.956591312581371
"Clinical History (CH)","lbfgs",5,0.152806672218437,1,0.152806672218437,0.262606956984065,0.937581000454435,1,0.152806672218437,0.262606956984065
"Clinical History (CH)","lbfgs",10,0.927716960658137,1,0.927716960658137,0.961888874952966,0.985646669594985,1,0.927716960658137,0.961888874952966
"Clinical History (CH)","lbfgs",50,0.944719004719005,1,0.944719004719005,0.971012056996712,0.986478850332313,0.960606060606061,0.944719004719005,0.951698688865217
"Clinical History (CH)","lbfgs",100,0.944719004719005,1,0.944719004719005,0.971012056996712,0.986478850332313,0.960606060606061,0.944719004719005,0.951698688865217
"Clinical History (CH)","passive-aggressive",5,0.933122366063542,1,0.933122366063542,0.965043180153307,0.957400954512969,0.988235294117647,0.933122366063542,0.959817623917341
"Clinical History (CH)","passive-aggressive",10,0.933122366063542,1,0.933122366063542,0.965043180153307,0.970127660271394,0.988235294117647,0.933122366063542,0.959817623917341
"Clinical History (CH)","passive-aggressive",50,0.933122366063542,1,0.933122366063542,0.965043180153307,0.987037077401342,0.976806722689076,0.933122366063542,0.954107046370293
"Clinical History (CH)","passive-aggressive",100,0.933122366063542,1,0.933122366063542,0.965043180153307,0.987037077401342,0.976806722689076,0.933122366063542,0.954107046370293
"Disparity Indicators (DI)","arow",5,0.985391020396607,0.996184647676378,0.98912788276899,0.992639901791574,0.982047387513524,0.987777816133896,0.989166987301152,0.988456259149528
"Disparity Indicators (DI)","arow",10,0.988193710233246,0.996191322710745,0.991937128523627,0.994058861691408,0.982596469591142,0.987797496649409,0.991969677137791,0.989870684282947
"Disparity Indicators (DI)","arow",50,0.987261309300845,0.996189118550392,0.991002549084375,0.993588283134817,0.982049670549048,0.988259160835395,0.99103727620539,0.989636160702448
"Disparity Indicators (DI)","arow",100,0.987270168217067,0.996190314520109,0.991012586333722,0.993593405381169,0.981770747675108,0.987338200854112,0.991046135121613,0.989171896774251
"Disparity Indicators (DI)","averaged-perceptron",5,0.991047302100952,0.996205057869168,0.994804324788783,0.995502760210398,0.824663773684373,0.786202705483564,0.994823269005497,0.877955315470213
"Disparity Indicators (DI)","averaged-perceptron",10,0.991987436216442,0.996208408828569,0.995747804984599,0.995976150977149,0.94917797422062,0.942608507584682,0.995763403120987,0.968293376004211
"Disparity Indicators (DI)","averaged-perceptron",50,0.991987436216442,0.996208408828569,0.995747804984599,0.995976150977149,0.983177102419318,0.990219495491258,0.995763403120987,0.992968143396713
"Disparity Indicators (DI)","averaged-perceptron",100,0.991987436216442,0.996208408828569,0.995747804984599,0.995976150977149,0.985661127244304,0.993468214198901,0.995763403120987,0.99460466602118
"Disparity Indicators (DI)","l2sgd",5,0.99479998068132,0.996217246456086,0.998569155585862,0.997391262822265,0.912233059007548,0.886203813280543,0.998575947585865,0.937040112760434
"Disparity Indicators (DI)","l2sgd",10,0.995273914330609,0.996219497922353,0.999045346062053,0.997629639825098,0.961719280769708,0.946595926276183,0.999049881235154,0.971889738683401
"Disparity Indicators (DI)","l2sgd",50,0.995748973713032,0.996221770907919,0.999522673031026,0.997869156695108,0.983438560841182,0.978432432011435,0.999524940617577,0.988842844181892
"Disparity Indicators (DI)","l2sgd",100,0.993867709770036,0.99621399115601,0.997633645042114,0.996921860127371,0.985376888506335,0.98703518917128,0.997643676674581,0.992288547011361
"Disparity Indicators (DI)","lbfgs",5,0.993377054000319,0.996210427421888,0.997139447664507,0.996672714902011,0.937581000454435,0.919613964679245,0.997153020904864,0.956799634664201
"Disparity Indicators (DI)","lbfgs",10,0.995748973713032,0.996221770907919,0.999522673031026,0.997869156695108,0.985646669594985,0.979250613114152,0.999524940617577,0.989279765882304
"Disparity Indicators (DI)","lbfgs",50,0.992935308837635,0.996211807547269,0.996699065602862,0.996453477970111,0.986478850332313,0.991126419403822,0.99671127574218,0.993899667220565
"Disparity Indicators (DI)","lbfgs",100,0.992935308837635,0.996211807547269,0.996699065602862,0.996453477970111,0.986478850332313,0.991126419403822,0.99671127574218,0.993899667220565
