"algorithm","max_iterations","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
"arow",5,0.878580661312425,0.898565483677383,0.97352961215724,0.929719420826959,0.980667032402445,0.96734971743785,0.970270278168891,0.968280198643269
"arow",10,0.879479704441017,0.898843656590743,0.972980017745272,0.929868046313224,0.98094213243028,0.966181751089746,0.969701431389226,0.9674364145677
"arow",50,0.877914923463963,0.897803910675845,0.972347247144187,0.928989923298448,0.980939839947712,0.971221784135962,0.97020458744614,0.970243454222951
"arow",100,0.879820854470088,0.897989437946175,0.975665093377538,0.930407548702185,0.981491192516369,0.968216909527174,0.973136263335508,0.970178164523092
"averaged-perceptron",5,0.697313054333372,0.889538288708655,0.758339139786797,0.776016077081434,0.888119601688011,0.909798365652328,0.767117918816814,0.801028408336518
"averaged-perceptron",10,0.805460078877203,0.897538466136118,0.888101705998608,0.875999980143809,0.948865782969516,0.948078687735599,0.88635343035634,0.906806813440825
"averaged-perceptron",50,0.875660703007061,0.897449976742428,0.969915695657998,0.927660625807148,0.982048622598962,0.972487238335633,0.968145756598581,0.969662670264127
"averaged-perceptron",100,0.875102979006714,0.897258474614286,0.969541863882297,0.927371528961398,0.982325243573207,0.971335080537979,0.967962739858188,0.969189413553638
"l2sgd",5,0.810434959135426,0.899539048145272,0.881060254024747,0.86004104387465,0.958041939888236,0.961535082820282,0.877340043052624,0.89484708554593
"l2sgd",10,0.863071867617623,0.897691844979664,0.953885278462675,0.920067677660209,0.977072008154844,0.978786802827472,0.95199277540823,0.964647849082589
"l2sgd",50,0.871768973022799,0.898286069695373,0.964129404807769,0.925276019877104,0.981491557726469,0.98075825204481,0.961430621554147,0.970639794061085
"l2sgd",100,0.871974851392026,0.897553334762235,0.96509746446726,0.925392045598385,0.982599597326641,0.984436722014908,0.963131827026178,0.973189380843635
"lbfgs",5,0.782403867397673,0.896095648682718,0.843900092030259,0.831031886955509,0.94838598653073,0.944130350613357,0.843849677596104,0.857729985214882
"lbfgs",10,0.874081903128727,0.897830039385293,0.96769502544287,0.926795511736122,0.983704191843787,0.986758142525656,0.965426232392856,0.975541896497202
"lbfgs",50,0.882454796690952,0.899104280906729,0.977270452743977,0.93191040490434,0.983432140067947,0.97240649634602,0.973611772325103,0.97275146591677
"lbfgs",100,0.882454796690952,0.899104280906729,0.977270452743977,0.93191040490434,0.983432140067947,0.97240649634602,0.973611772325103,0.97275146591677
"passive-aggressive",5,0.835104257763564,0.894548755433441,0.928905585589626,0.900709196792522,0.96185255386741,0.963152045142354,0.929730480095467,0.939940969524012
"passive-aggressive",10,0.874073213645662,0.896574605793361,0.969773843170199,0.927051456084585,0.980115276643583,0.967318358823806,0.968862341119258,0.967301451606929
"passive-aggressive",50,0.876282063151148,0.897145782224272,0.971454093985124,0.928189951404698,0.981765879858971,0.970281458931566,0.969979333591747,0.969613431202409
"passive-aggressive",100,0.875107305255078,0.896063356650569,0.971358855889886,0.927593993080141,0.982040224117378,0.968040959045423,0.970966737857839,0.968926935892918
