"algorithm","max_iterations","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
"arow",5,0.991406532407711,0.99996632421627,0.991440131128927,0.99553481290915,0.994856043173706,0.992160876156071,0.991440169599805,0.991599166946671
"arow",10,0.992714379477309,0.999966324233886,0.992747978200046,0.996247558011458,0.995334552957522,0.992723724810179,0.992748016669402,0.992537171071832
"arow",50,0.997634200714848,0.999966349222914,0.997667824329947,0.998810214691819,0.998581552975435,0.997717119942447,0.997667837906942,0.997680643903385
"arow",100,0.998083162850301,0.999966351487968,0.998116788728548,0.999037024234771,0.998837900423534,0.9982736935667,0.998116800042394,0.998188959379456
"averaged-perceptron",5,0.832396635204428,0.999966320880157,0.832430230521777,0.889394183175168,0.903631382043289,0.937573247065721,0.832430272396521,0.860418383791958
"averaged-perceptron",10,0.956760415793741,0.999966310644779,0.956794000925775,0.976881899273068,0.976038157817089,0.974806201100291,0.956794052985834,0.964527116182149
"averaged-perceptron",50,0.993718292988857,0.99996633449453,0.993751901888532,0.996830759477349,0.996035051186768,0.995678941919601,0.993751930180951,0.994686541356505
"averaged-perceptron",100,0.996094427465321,0.999966344688993,0.99612804654917,0.998029992107368,0.997556171878818,0.997523564051566,0.996128064657415,0.99680359245544
"l2sgd",5,0.70080469789722,0.999966327685628,0.700838300005162,0.729780907928645,0.830488557142767,0.864023263153204,0.700838335089314,0.697855437279421
"l2sgd",10,0.809747545811505,0.999966326553673,0.809781146788633,0.831681520340498,0.886440320776738,0.916394293728531,0.809781183003598,0.809345575732284
"l2sgd",50,0.912143840098359,0.99996632429091,0.91217743881462,0.934814206160026,0.95402153059745,0.971652520872041,0.912177477290452,0.923455828812912
"l2sgd",100,0.978325488755398,0.999966326553669,0.978359089734048,0.988170402895713,0.988308938351957,0.988188358030651,0.978359125947491,0.982301769841692
"lbfgs",5,0.888621318437821,0.999965467217445,0.888654083123174,0.93770211109703,0.932150575262948,0.923696887600716,0.888654955629914,0.899251765438959
"lbfgs",10,0.992239340333521,0.999966339024638,0.992272953757211,0.996100026452411,0.994924118215624,0.992571049612454,0.992272977525614,0.992405934292752
"lbfgs",50,0.999561923029791,0.999966357150413,0.999595554565531,0.999780812743878,0.9996411132692,0.999614022276943,0.999595560221884,0.999604616530907
"lbfgs",100,0.999561923029791,0.999966357150413,0.999595554565531,0.999780812743878,0.9996411132692,0.999614022276943,0.999595560221884,0.999604616530907
"passive-aggressive",5,0.993926157327663,0.999966357150413,0.993959788862642,0.996919103785015,0.9964453791141,0.99841965303611,0.993959794519756,0.996143540208783
"passive-aggressive",10,0.996906858690834,0.999966357150413,0.996940490225813,0.998442477351106,0.998188532215163,0.999050656377098,0.996940495882927,0.99798483182624
"passive-aggressive",50,0.999594444510609,0.999966358279322,0.999628077174499,0.999797084125925,0.999709476195197,0.999692475063833,0.999628081702702,0.999660234736438
"passive-aggressive",100,0.999594444510609,0.999966358279322,0.999628077174499,0.999797084125925,0.999709476195197,0.999692475063833,0.999628081702702,0.999660234736438
