Class,ClassID,Label,Entity,Form,Type,TEXT_RULES_VAR,TEXT_RULES_VAL
Clinical History (CH),CH,ODATE,"2021-11-02,2023-03-31",ind,date,ILL0,yes
Clinical History (CH),CH,COVID_POSITIVE_DT,"2020-12-22,2023-09-15",ind,date,COVID_POSITIVE,yes
Clinical History (CH),CH,ILL0_HOSPITALIZED_DAYS,"1,30",ind,numeric,ILL0_HOSPITALIZED,yes
Clinical History (CH),CH,ILL1_HOSPITALIZED_DAYS,"1,60",ind,numeric,ILL1_HOSPITALIZED,yes
Clinical History (CH),CH,PHQ1,never,kap,text,NA,NA
Clinical History (CH),CH,PHQ1,sometimes,kap,text,NA,NA
Clinical History (CH),CH,PHQ1,most days,kap,text,NA,NA
Clinical History (CH),CH,PHQ1,more than half,kap,text,NA,NA
Clinical History (CH),CH,PHQ2,never,kap,text,NA,NA
Clinical History (CH),CH,PHQ2,sometimes,kap,text,NA,NA
Clinical History (CH),CH,PHQ2,most days,kap,text,NA,NA
Clinical History (CH),CH,PHQ2,more than half,kap,text,NA,NA
Clinical History (CH),CH,GAD1,never,kap,text,NA,NA
Clinical History (CH),CH,GAD1,sometimes,kap,text,NA,NA
Clinical History (CH),CH,GAD1,most days,kap,text,NA,NA
Clinical History (CH),CH,GAD1,more than half,kap,text,NA,NA
Clinical History (CH),CH,GAD2,never,kap,text,NA,NA
Clinical History (CH),CH,GAD2,sometimes,kap,text,NA,NA
Clinical History (CH),CH,GAD2,mostdays,kap,text,NA,NA
Clinical History (CH),CH,GAD2,more than half,kap,text,NA,NA
Clinical History (CH),CH,SOUGHT_CARE_L7D,yes,ind,text,ILL0,yes
Clinical History (CH),CH,SOUGHT_CARE_L7D,no,ind,text,ILL0,yes
Clinical History (CH),CH,ILL0_HOSPITALIZED,yes,ind,text,ILL0,yes
Clinical History (CH),CH,SOUGHT_CARE_L12MO,yes,ind,text,ILL1,yes
Clinical History (CH),CH,SOUGHT_CARE_L12MO,no,ind,text,ILL1,yes
Clinical History (CH),CH,ILL0,yes,ind,text,NA,NA
Clinical History (CH),CH,ILL0,no,ind,text,NA,NA
Clinical History (CH),CH,ILL0,unk,ind,text,NA,NA
Clinical History (CH),CH,ILL0_HOSPITALIZED,no,ind,text,ILL0,yes
Clinical History (CH),CH,ILL1_HOSPITALIZED,yes,ind,text,ILL1,yes
Clinical History (CH),CH,ILL1,yes,ind,text,NA,NA
Clinical History (CH),CH,ILL1,no,ind,text,NA,NA
Clinical History (CH),CH,ILL1,unk,ind,text,NA,NA
Clinical History (CH),CH,ILL1_HOSPITALIZED,no,ind,text,ILL1,yes
Clinical History (CH),CH,COVID_POSITIVE,yes,ind,text,NA,NA
Clinical History (CH),CH,COVID_POSITIVE,no,ind,text,NA,NA
Clinical History (CH),CH,COVID_POSITIVE,unk,ind,text,NA,NA
Disparity Indicators (DI),DI,RENT_OWN_OTH,,hr,free text field,RENT_OWN,other
Disparity Indicators (DI),DI,PREGNANCY_WEEKS,"1,42",ind,numeric,PREGNANT,yes
Disparity Indicators (DI),DI,INCOME,"0,100000",hr,numeric,INCOME_OTHER,prefer month
Disparity Indicators (DI),DI,INCOME_MONTHS,"0,5000",hr,numeric,INCOME_OTHER,prefer month
Disparity Indicators (DI),DI,COMMUNITY_YEARS,"0,100",ind,numeric,NA,NA
Disparity Indicators (DI),DI,HM8_AGE,"0,100",hr,numeric,NOP,"8,9"
Disparity Indicators (DI),DI,HM7_AGE,"0,100",hr,numeric,NOP,"7,8,9"
Disparity Indicators (DI),DI,HM6_AGE,"0,100",hr,numeric,NOP,"6,7,8,9"
Disparity Indicators (DI),DI,HM5_AGE,"0,100",hr,numeric,NOP,"5,6,7,8,9"
Disparity Indicators (DI),DI,HM4_AGE,"0,100",hr,numeric,NOP,"4,5,6,7,8,9"
Disparity Indicators (DI),DI,HM3_AGE,"0,100",hr,numeric,NOP,"3,4,5,6,7,8,9"
Disparity Indicators (DI),DI,HM2_AGE,"0,100",hr,numeric,NOP,"2,3,4,5,6,7,8,9"
Disparity Indicators (DI),DI,HM1_AGE,"0,100",hr,numeric,NOP,"1,2,3,4,5,6,7,8,9"
Disparity Indicators (DI),DI,HM9_AGE,"0,100",hr,numeric,NOP,9
Disparity Indicators (DI),DI,NOP,"1,9",hr,numeric,NA,NA
Disparity Indicators (DI),DI,HISPANIC_LATINO,yes,ind,text,NA,NA
Disparity Indicators (DI),DI,HISPANIC_LATINO,no,ind,text,NA,NA
Disparity Indicators (DI),DI,HISPANIC_LATINO,unk,ind,text,NA,NA
Disparity Indicators (DI),DI,INSURANCE,yes,ind,text,NA,NA
Disparity Indicators (DI),DI,INSURANCE,no,ind,text,NA,NA
Disparity Indicators (DI),DI,INSURANCE,unk,ind,text,NA,NA
Disparity Indicators (DI),DI,EDUCATION,grades 6 to 8,ind,text,NA,NA
Disparity Indicators (DI),DI,EDUCATION,spec ed,ind,text,NA,NA
Disparity Indicators (DI),DI,EDUCATION,completed grade 12 ged,ind,text,NA,NA
Disparity Indicators (DI),DI,EDUCATION,bach degree,ind,text,NA,NA
Disparity Indicators (DI),DI,EDUCATION,grades 1 to 5,ind,text,NA,NA
Disparity Indicators (DI),DI,EDUCATION,tech assoc degree,ind,text,NA,NA
Disparity Indicators (DI),DI,EDUCATION,grades 9 to 11,ind,text,NA,NA
Disparity Indicators (DI),DI,EDUCATION,prof degree,ind,text,NA,NA
Disparity Indicators (DI),DI,EDUCATION,post grad study,ind,text,NA,NA
Disparity Indicators (DI),DI,EDUCATION,no school,ind,text,NA,NA
Disparity Indicators (DI),DI,EMPLOYMENT,studying working,ind,text,NA,NA
Disparity Indicators (DI),DI,EMPLOYMENT,studying,ind,text,NA,NA
Disparity Indicators (DI),DI,EMPLOYMENT,unemployed,ind,text,NA,NA
Disparity Indicators (DI),DI,EMPLOYMENT,employed pt,ind,text,NA,NA
Disparity Indicators (DI),DI,EMPLOYMENT,informal work,ind,text,NA,NA
Disparity Indicators (DI),DI,EMPLOYMENT,homemaker,ind,text,NA,NA
Disparity Indicators (DI),DI,EMPLOYMENT,health cond disability,ind,text,NA,NA
Disparity Indicators (DI),DI,EMPLOYMENT,retired,ind,text,NA,NA
Disparity Indicators (DI),DI,EMPLOYMENT,self emp,ind,text,NA,NA
Disparity Indicators (DI),DI,EMPLOYMENT,employed ft,ind,text,NA,NA
Disparity Indicators (DI),DI,EMPLOYMENT,other,ind,text,NA,NA
Disparity Indicators (DI),DI,PREGNANT,yes,ind,text,SEX,female
Disparity Indicators (DI),DI,PREGNANT,no,ind,text,SEX,female
Disparity Indicators (DI),DI,PREGNANT,unk,ind,text,SEX,female
Disparity Indicators (DI),DI,CHILD_UNDER18,yes,kap,text,AGE_GROUP,"15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,50"
Disparity Indicators (DI),DI,CHILD_UNDER18,no,kap,text,AGE_GROUP,"15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,50"
Disparity Indicators (DI),DI,RENT_OWN,relatives home,hr,text,NA,NA
Disparity Indicators (DI),DI,RENT_OWN,owner,hr,text,NA,NA
Disparity Indicators (DI),DI,RENT_OWN,renter,hr,text,NA,NA
Disparity Indicators (DI),DI,RENT_OWN,public housing,hr,text,NA,NA
Disparity Indicators (DI),DI,RENT_OWN,other,hr,text,NA,NA
Disparity Indicators (DI),DI,INCOME_OTHER,prefer month,hr,text,NA,NA
Disparity Indicators (DI),DI,SEX,female,ind,text,NA,NA
Disparity Indicators (DI),DI,SEX,male,ind,text,NA,NA
Disparity Indicators (DI),DI,AGE_GROUP,1 to 4,ind,text,NA,NA
Disparity Indicators (DI),DI,AGE_GROUP,5 to 9,ind,text,NA,NA
Disparity Indicators (DI),DI,AGE_GROUP,10 to 14,ind,text,NA,NA
Disparity Indicators (DI),DI,AGE_GROUP,15 to 19,ind,text,NA,NA
Disparity Indicators (DI),DI,AGE_GROUP,20 to 24,ind,text,NA,NA
Disparity Indicators (DI),DI,AGE_GROUP,25 to 29,ind,text,NA,NA
Disparity Indicators (DI),DI,AGE_GROUP,30 to 34,ind,text,NA,NA
Disparity Indicators (DI),DI,AGE_GROUP,35 to 39,ind,text,NA,NA
Disparity Indicators (DI),DI,AGE_GROUP,40 to 44,ind,text,NA,NA
Disparity Indicators (DI),DI,AGE_GROUP,45 to 49,ind,text,NA,NA
Disparity Indicators (DI),DI,AGE_GROUP,50,ind,text,NA,NA
Disparity Indicators (DI),DI,HM8_PRESENT,yes,hr,text,NOP,"8,9"
Disparity Indicators (DI),DI,HM8_PRESENT,no,hr,text,NOP,"8,9"
Disparity Indicators (DI),DI,HM8_PARTICIPATE,yes,hr,text,NOP,"8,9"
Disparity Indicators (DI),DI,HM8_PARTICIPATE,no,hr,text,NOP,"8,9"
Disparity Indicators (DI),DI,HM8_PARTICIPATE,not eligible,hr,text,NOP,"8,9"
Disparity Indicators (DI),DI,HM8_PARTICIPATE,unk,hr,text,NOP,"8,9"
Disparity Indicators (DI),DI,HM8_SEX,male,hr,text,NOP,"8,9"
Disparity Indicators (DI),DI,HM8_SEX,female,hr,text,NOP,"8,9"
Disparity Indicators (DI),DI,HM7_PRESENT,yes,hr,text,NOP,"7,8,9"
Disparity Indicators (DI),DI,HM7_PRESENT,no,hr,text,NOP,"7,8,9"
Disparity Indicators (DI),DI,HM7_PARTICIPATE,yes,hr,text,NOP,"7,8,9"
