"Label","Entity","Type","Class"
"ODATE","2021-11-02,2023-03-31","date","Clinical History (CH)"
"COVID_POSITIVE_DT","2020-12-22,2023-09-15","date","Clinical History (CH)"
"ILL0_HOSPITALIZED_DAYS","1,30","numeric","Clinical History (CH)"
"ILL1_HOSPITALIZED_DAYS","1,60","numeric","Clinical History (CH)"
"RENT_OWN_OTH","","free text field","Disparity Indicators (DI)"
"PREGNANCY_WEEKS","1,42","numeric","Disparity Indicators (DI)"
"INCOME","0,100000","numeric","Disparity Indicators (DI)"
"INCOME_MONTHS","0,5000","numeric","Disparity Indicators (DI)"
"COMMUNITY_YEARS","0,100","numeric","Disparity Indicators (DI)"
"HM8_AGE","0,100","numeric","Disparity Indicators (DI)"
"HM7_AGE","0,100","numeric","Disparity Indicators (DI)"
"HM6_AGE","0,100","numeric","Disparity Indicators (DI)"
"HM5_AGE","0,100","numeric","Disparity Indicators (DI)"
"HM4_AGE","0,100","numeric","Disparity Indicators (DI)"
"HM3_AGE","0,100","numeric","Disparity Indicators (DI)"
"HM2_AGE","0,100","numeric","Disparity Indicators (DI)"
"HM1_AGE","0,100","numeric","Disparity Indicators (DI)"
"HM9_AGE","0,100","numeric","Disparity Indicators (DI)"
"NOP","1,9","numeric","Disparity Indicators (DI)"
"OTHER_INSECTICIDE_SPEC","","free text field","Preventive Behaviors (PB)"
"EXTERMINATOR_12MO_COST","0,10000","numeric","Preventive Behaviors (PB)"
"INSECTICIDE_6MO_COST","0,10000","numeric","Preventive Behaviors (PB)"
"AWAY_MONDAY","0,24","numeric","Risk Indicator (RI)"
"AWAY_TUESDAY","0,24","numeric","Risk Indicator (RI)"
"AWAY_WEDNESDAY","0,24","numeric","Risk Indicator (RI)"
"AWAY_THURSDAY","0,24","numeric","Risk Indicator (RI)"
"AWAY_FRIDAY","0,24","numeric","Risk Indicator (RI)"
"AWAY_SATURDAY","0,24","numeric","Risk Indicator (RI)"
"AWAY_SUNDAY","0,24","numeric","Risk Indicator (RI)"
"PHQ1","never","text","Clinical History (CH)"
"PHQ1","sometimes","text","Clinical History (CH)"
"PHQ1","most days","text","Clinical History (CH)"
"PHQ1","more than half","text","Clinical History (CH)"
"PHQ2","never","text","Clinical History (CH)"
"PHQ2","sometimes","text","Clinical History (CH)"
"PHQ2","most days","text","Clinical History (CH)"
"PHQ2","more than half","text","Clinical History (CH)"
"GAD1","never","text","Clinical History (CH)"
"GAD1","sometimes","text","Clinical History (CH)"
"GAD1","most days","text","Clinical History (CH)"
"GAD1","more than half","text","Clinical History (CH)"
"GAD2","never","text","Clinical History (CH)"
"GAD2","sometimes","text","Clinical History (CH)"
"GAD2","more than half","text","Clinical History (CH)"
"SOUGHT_CARE_L7D","yes","text","Clinical History (CH)"
"SOUGHT_CARE_L7D","no","text","Clinical History (CH)"
"ILL0_HOSPITALIZED","yes","text","Clinical History (CH)"
"SOUGHT_CARE_L12MO","yes","text","Clinical History (CH)"
"SOUGHT_CARE_L12MO","no","text","Clinical History (CH)"
"ILL0","yes","text","Clinical History (CH)"
"ILL0","no","text","Clinical History (CH)"
"ILL0","unk","text","Clinical History (CH)"
"ILL0_HOSPITALIZED","no","text","Clinical History (CH)"
"ILL1_HOSPITALIZED","yes","text","Clinical History (CH)"
"ILL1","yes","text","Clinical History (CH)"
"ILL1","no","text","Clinical History (CH)"
"ILL1","unk","text","Clinical History (CH)"
"ILL1_HOSPITALIZED","no","text","Clinical History (CH)"
