"Entity","Label","Type","Class"
"45 to 49","AGE_GROUP","text","Disparity Indicators (DI)"
"35 to 39","AGE_GROUP","text","Disparity Indicators (DI)"
"30 to 34","AGE_GROUP","text","Disparity Indicators (DI)"
"10 to 14","AGE_GROUP","text","Disparity Indicators (DI)"
"15 to 19","AGE_GROUP","text","Disparity Indicators (DI)"
"40 to 44","AGE_GROUP","text","Disparity Indicators (DI)"
"50","AGE_GROUP","text","Disparity Indicators (DI)"
"25 to 29","AGE_GROUP","text","Disparity Indicators (DI)"
"5 to 9","AGE_GROUP","text","Disparity Indicators (DI)"
"20 to 24","AGE_GROUP","text","Disparity Indicators (DI)"
"1 to 4","AGE_GROUP","text","Disparity Indicators (DI)"
"female","SEX","text","Disparity Indicators (DI)"
"male","SEX","text","Disparity Indicators (DI)"
"maze","SEX","text","Disparity Indicators (DI)"
"femkle","SEX","text","Disparity Indicators (DI)"
"mawe","SEX","text","Disparity Indicators (DI)"
"femalk","SEX","text","Disparity Indicators (DI)"
"femalt","SEX","text","Disparity Indicators (DI)"
"mate","SEX","text","Disparity Indicators (DI)"
"femnle","SEX","text","Disparity Indicators (DI)"
"zemale","SEX","text","Disparity Indicators (DI)"
"femald","SEX","text","Disparity Indicators (DI)"
"mals","SEX","text","Disparity Indicators (DI)"
"mave","SEX","text","Disparity Indicators (DI)"
"malv","SEX","text","Disparity Indicators (DI)"
"nr","SEX","text","Disparity Indicators (DI)"
"fetale","SEX","text","Disparity Indicators (DI)"
"femalm","SEX","text","Disparity Indicators (DI)"
"femace","SEX","text","Disparity Indicators (DI)"
"femape","SEX","text","Disparity Indicators (DI)"
"cale","SEX","text","Disparity Indicators (DI)"
"femaye","SEX","text","Disparity Indicators (DI)"
"lemale","SEX","text","Disparity Indicators (DI)"
"mage","SEX","text","Disparity Indicators (DI)"
"femake","SEX","text","Disparity Indicators (DI)"
"femxle","SEX","text","Disparity Indicators (DI)"
"remale","SEX","text","Disparity Indicators (DI)"
"mase","SEX","text","Disparity Indicators (DI)"
"femalu","SEX","text","Disparity Indicators (DI)"
"mile","SEX","text","Disparity Indicators (DI)"
"femlle","SEX","text","Disparity Indicators (DI)"
"myle","SEX","text","Disparity Indicators (DI)"
"mape","SEX","text","Disparity Indicators (DI)"
"kale","SEX","text","Disparity Indicators (DI)"
"mvle","SEX","text","Disparity Indicators (DI)"
"femalq","SEX","text","Disparity Indicators (DI)"
"maoe","SEX","text","Disparity Indicators (DI)"
"made","SEX","text","Disparity Indicators (DI)"
"ftmale","SEX","text","Disparity Indicators (DI)"
